,player_id,player_name,born,url,market_value
89,,Adrian Stanilewicz,2000,https://www.transfermarkt.pl/adrian-stanilewicz/profil/spieler/389078,175000
90,,Daniel Skiba,2000,https://www.transfermarkt.pl/daniel-skiba/profil/spieler/565983,175000
91,,Daniel Pik,2000,https://www.transfermarkt.pl/daniel-pik/profil/spieler/528410,150000
92,,Wojciech Laski,2000,https://www.transfermarkt.pl/wojciech-laski/profil/spieler/694787,150000
93,,Marcel Zylla,2000,https://www.transfermarkt.pl/marcel-zylla/profil/spieler/336330,100000
94,,Marcin Grabowski,2000,https://www.transfermarkt.pl/marcin-grabowski/profil/spieler/345451,100000
95,,Kacper Tabis,2000,https://www.transfermarkt.pl/kacper-tabis/profil/spieler/358874,100000
96,,Kacper Spiewak,2000,https://www.transfermarkt.pl/kacper-spiewak/profil/spieler/504361,100000
97,,Mateusz Grudzinski,2000,https://www.transfermarkt.pl/mateusz-grudzinski/profil/spieler/514201,100000
98,,Kacper Piatek,2000,https://www.transfermarkt.pl/kacper-piatek/profil/spieler/549694,100000
99,,Wiktor Klos,2000,https://www.transfermarkt.pl/wiktor-klos/profil/spieler/529538,75000
100,,Tymoteusz Klups,2000,https://www.transfermarkt.pl/tymoteusz-klups/profil/spieler/358873,50000
101,,Kacper Welniak,2000,https://www.transfermarkt.pl/kacper-welniak/profil/spieler/393567,50000
102,,Pawel Tupaj,2000,https://www.transfermarkt.pl/pawel-tupaj/profil/spieler/412483,50000
103,,Bartlomiej Kukulowicz,2000,https://www.transfermarkt.pl/bartlomiej-kukulowicz/profil/spieler/428919,50000
104,,Michal Krol,2000,https://www.transfermarkt.pl/michal-krol/profil/spieler/461569,50000
105,,Patryk Plewka,2000,https://www.transfermarkt.pl/patryk-plewka/profil/spieler/495237,50000
106,,Karol Turek,2000,https://www.transfermarkt.pl/karol-turek/profil/spieler/527603,50000
107,,Mateusz Ozimek,2000,https://www.transfermarkt.pl/mateusz-ozimek/profil/spieler/549313,50000
108,,Hugo Bartkowiak,2000,https://www.transfermarkt.pl/hugo-bartkowiak/profil/spieler/549804,50000
109,,Michal Bednarski,2000,https://www.transfermarkt.pl/michal-bednarski/profil/spieler/585989,50000
110,,Nikodem Zawistowski,2000,https://www.transfermarkt.pl/nikodem-zawistowski/profil/spieler/589225,50000
111,,Jan Majsterek,2000,https://www.transfermarkt.pl/jan-majsterek/profil/spieler/597614,50000
112,,Dawid Kasprzyk,2000,https://www.transfermarkt.pl/dawid-kasprzyk/profil/spieler/687441,50000
113,,Robert Ozog,2000,https://www.transfermarkt.pl/robert-ozog/profil/spieler/345444,25000
114,,Mateusz Gorski,2000,https://www.transfermarkt.pl/mateusz-gorski/profil/spieler/384778,25000
115,,Patryk Zaucha,2000,https://www.transfermarkt.pl/patryk-zaucha/profil/spieler/393568,25000
116,,Michal Ozga,2000,https://www.transfermarkt.pl/michal-ozga/profil/spieler/452666,25000
117,,Jakub Szymanski,2000,https://www.transfermarkt.pl/jakub-szymanski/profil/spieler/469658,25000
118,,Beniamin Czajka,2000,https://www.transfermarkt.pl/beniamin-czajka/profil/spieler/505527,25000
119,,Adrian Szczutowski,2000,https://www.transfermarkt.pl/adrian-szczutowski/profil/spieler/536293,25000
120,,Mateusz Machala,2000,https://www.transfermarkt.pl/mateusz-machala/profil/spieler/596471,25000
121,,Kamil Ogorzaly,2000,https://www.transfermarkt.pl/kamil-ogorzaly/profil/spieler/655588,25000
122,,Aleksander Bieganski,2000,https://www.transfermarkt.pl/aleksander-bieganski/profil/spieler/687440,25000
156,,Maik Nawrocki,2001,https://www.transfermarkt.pl/maik-nawrocki/profil/spieler/407745,4500000
157,,Michal Karbownik,2001,https://www.transfermarkt.pl/michal-karbownik/profil/spieler/401604,3000000
158,,Bartosz Bialek,2001,https://www.transfermarkt.pl/bartosz-bialek/profil/spieler/535551,3000000
159,,Lukasz Lakomy,2001,https://www.transfermarkt.pl/lukasz-lakomy/profil/spieler/401598,2000000
160,,Mateusz Bogusz,2001,https://www.transfermarkt.pl/mateusz-bogusz/profil/spieler/431475,1200000
161,,Maciej Rosolek,2001,https://www.transfermarkt.pl/maciej-rosolek/profil/spieler/401609,1000000
162,,Karol Struski,2001,https://www.transfermarkt.pl/karol-struski/profil/spieler/553562,900000
163,,Ernest Terpilowski,2001,https://www.transfermarkt.pl/ernest-terpilowski/profil/spieler/573345,800000
164,,Karol Knap,2001,https://www.transfermarkt.pl/karol-knap/profil/spieler/800664,600000
165,,Mateusz Zukowski,2001,https://www.transfermarkt.pl/mateusz-zukowski/profil/spieler/470375,500000
166,,Jedrzej Grobelny,2001,https://www.transfermarkt.pl/jedrzej-grobelny/profil/spieler/531538,500000
167,,Aleksander Paluszek,2001,https://www.transfermarkt.pl/aleksander-paluszek/profil/spieler/605746,500000
168,,Konrad Matuszewski,2001,https://www.transfermarkt.pl/konrad-matuszewski/profil/spieler/401599,450000
169,,Wiktor Plesnierowicz,2001,https://www.transfermarkt.pl/wiktor-plesnierowicz/profil/spieler/407089,400000
170,,Szymon Czyz,2001,https://www.transfermarkt.pl/szymon-czyz/profil/spieler/407094,400000
171,,Cezary Miszta,2001,https://www.transfermarkt.pl/cezary-miszta/profil/spieler/487167,400000
172,,Kryspin Szczesniak,2001,https://www.transfermarkt.pl/kryspin-szczesniak/profil/spieler/549312,400000
173,,Kacper Smolinski,2001,https://www.transfermarkt.pl/kacper-smolinski/profil/spieler/597231,400000
174,,Marcel Zapytowski,2001,https://www.transfermarkt.pl/marcel-zapytowski/profil/spieler/598274,400000
175,,Piotr Samiec-Talar,2001,https://www.transfermarkt.pl/piotr-samiec-talar/profil/spieler/598448,400000
176,,Norbert Wojtuszek,2001,https://www.transfermarkt.pl/norbert-wojtuszek/profil/spieler/607435,400000
177,,Aleksander Pawlak,2001,https://www.transfermarkt.pl/aleksander-pawlak/profil/spieler/725654,400000
178,,Olaf Kobacki,2001,https://www.transfermarkt.pl/olaf-kobacki/profil/spieler/407734,350000
179,,Dawid Olejarka,2001,https://www.transfermarkt.pl/dawid-olejarka/profil/spieler/608656,350000
180,,Lukasz Zjawinski,2001,https://www.transfermarkt.pl/lukasz-zjawinski/profil/spieler/401608,300000
181,,Bartosz Bida,2001,https://www.transfermarkt.pl/bartosz-bida/profil/spieler/475802,300000
182,,Dawid Szot,2001,https://www.transfermarkt.pl/dawid-szot/profil/spieler/545673,300000
183,,Dawid Arndt,2001,https://www.transfermarkt.pl/dawid-arndt/profil/spieler/572949,300000
184,,Bartlomiej Ciepiela,2001,https://www.transfermarkt.pl/bartlomiej-ciepiela/profil/spieler/576569,300000
185,,Marcin Szpakowski,2001,https://www.transfermarkt.pl/marcin-szpakowski/profil/spieler/605748,300000
186,,Mieszko Lorenc,2001,https://www.transfermarkt.pl/mieszko-lorenc/profil/spieler/401594,250000
187,,Jakub Sypek,2001,https://www.transfermarkt.pl/jakub-sypek/profil/spieler/504601,250000
188,,Maciej Sliwa,2001,https://www.transfermarkt.pl/maciej-sliwa/profil/spieler/528369,250000
189,,Oskar Sewerzynski,2001,https://www.transfermarkt.pl/oskar-sewerzynski/profil/spieler/605816,250000
190,,Wojciech Kaminski,2001,https://www.transfermarkt.pl/wojciech-kaminski/profil/spieler/683545,250000
191,,Patryk Szwedzik,2001,https://www.transfermarkt.pl/patryk-szwedzik/profil/spieler/693310,250000
192,,Bartłomiej Eizenchart,2001,https://www.transfermarkt.pl/bart%C5%82omiej-eizenchart/profil/spieler/501635,200000
